,Driver,TeamName_x,GridPosition,Finish_Position,Status,delta_to_pole,Qual_Position,Year,Location,fp2_median_pace,fp2_team_dif,fp2_deg_rate
117,ALB,Williams,18.0,18.0,+2 Laps,2.894999999999996,19.0,2022,Barcelona,89.1455,-0.015000000000000568,0.3279156164383609
118,ZHO,Alfa Romeo,15.0,19.0,Power loss,2.343999999999994,15.0,2022,Barcelona,87.5955,5.767499999999998,2.291539393939396
119,LEC,Ferrari,1.0,20.0,Turbo,0.0,1.0,2022,Barcelona,86.8605,0.4555000000000007,0.021418181818182322
120,PER,Red Bull Racing,3.0,1.0,Finished,0.2530000000000001,3.0,2022,Monaco,90.226,9.766500000000008,3.0345679159742285
121,SAI,Ferrari,2.0,2.0,Finished,0.22499999999999432,2.0,2022,Monaco,81.049,4.766000000000005,2.5236894409937825
122,VER,Red Bull Racing,4.0,3.0,Finished,0.28999999999999204,4.0,2022,Monaco,80.45949999999999,-9.766500000000008,3.8629204750642545
123,LEC,Ferrari,1.0,4.0,Finished,0.0,1.0,2022,Monaco,76.283,-4.766000000000005,0.5690337209302385
124,RUS,Mercedes,6.0,5.0,Finished,0.73599999999999,6.0,2022,Monaco,77.21350000000001,-8.851499999999987,0.5539199999999991
125,NOR,McLaren,5.0,6.0,Finished,0.472999999999999,5.0,2022,Monaco,78.372,,-0.299449999999997
126,ALO,Alpine,7.0,7.0,Finished,0.8709999999999951,7.0,2022,Monaco,77.743,-2.772500000000008,1.7083620571943872
127,HAM,Mercedes,8.0,8.0,Finished,1.1839999999999975,8.0,2022,Monaco,86.065,8.851499999999987,1.9124912972085353
128,BOT,Alfa Romeo,12.0,9.0,Finished,1.5330000000000013,12.0,2022,Monaco,79.5495,1.5124999999999886,3.4172666666666545
129,VET,Aston Martin,9.0,10.0,Finished,1.3559999999999945,9.0,2022,Monaco,79.04599999999999,0.12199999999998568,-0.31399585652442813
130,GAS,AlphaTauri,17.0,11.0,Finished,2.283999999999992,17.0,2022,Monaco,80.961,-9.628,0.29030989919875644
131,OCO,Alpine,10.0,12.0,Finished,1.6709999999999923,10.0,2022,Monaco,80.5155,2.772500000000008,1.2513856446165805
132,RIC,McLaren,14.0,13.0,Finished,1.5879999999999939,14.0,2022,Monaco,,,
133,STR,Aston Martin,18.0,14.0,Finished,2.3019999999999925,18.0,2022,Monaco,78.924,-0.12199999999998568,-0.09818076923076567
