,Driver,TeamName_x,GridPosition,Finish_Position,Status,delta_to_pole,Qual_Position,Year,Location,fp2_median_pace,fp2_team_dif,fp2_deg_rate,circuit_length,num_corners,num_drs_zones,avg_speed_kmh,safety_car_rate,track_type,overtaking_ability
74,ZHO,Alfa Romeo,0.0,15.0,+1 Lap,2.4440000000000026,14.0,2022,Imola,81.39,,-0.15207222222222153,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
75,LAT,Williams,19.0,16.0,+1 Lap,2.9810000000000088,18.0,2022,Imola,82.111,0.8100000000000023,-0.1580443064182199,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
76,MSC,Haas F1 Team,10.0,17.0,+1 Lap,1.926000000000002,12.0,2022,Imola,82.338,0.05499999999999261,0.2923194052324502,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
77,RIC,McLaren,6.0,18.0,+1 Lap,10.75200000000001,6.0,2022,Imola,,,,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
78,ALO,Alpine,9.0,19.0,Collision damage,10.212000000000003,5.0,2022,Imola,82.2775,0.5914999999999964,0.0759835497835506,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
79,SAI,Ferrari,4.0,20.0,Collision,0.0,10.0,2022,Imola,82.321,0.4609999999999985,0.047599159663866034,4909.0,19.0,2.0,198.0,0.2,permanent,0.1
80,VER,Red Bull Racing,3.0,1.0,Finished,0.19499999999999318,3.0,2022,Miami,,,,5412.0,19.0,3.0,223.0,0.18,street,0.7
81,LEC,Ferrari,1.0,2.0,Finished,0.0,1.0,2022,Miami,94.265,-29.802999999999997,1.2213837209302336,5412.0,19.0,3.0,223.0,0.18,street,0.7
82,SAI,Ferrari,2.0,3.0,Finished,0.18999999999999773,2.0,2022,Miami,124.068,29.802999999999997,5.523671641791034,5412.0,19.0,3.0,223.0,0.18,street,0.7
83,PER,Red Bull Racing,4.0,4.0,Finished,0.23999999999999488,4.0,2022,Miami,94.521,,7.027209302325578,5412.0,19.0,3.0,223.0,0.18,street,0.7
84,RUS,Mercedes,12.0,5.0,Finished,1.3769999999999953,12.0,2022,Miami,94.28550000000001,-2.423999999999978,4.455465116279068,5412.0,19.0,3.0,223.0,0.18,street,0.7
85,HAM,Mercedes,6.0,6.0,Finished,0.8289999999999935,6.0,2022,Miami,96.70949999999999,2.423999999999978,4.585430232558142,5412.0,19.0,3.0,223.0,0.18,street,0.7
86,BOT,Alfa Romeo,5.0,7.0,Finished,0.6789999999999878,5.0,2022,Miami,,,,5412.0,19.0,3.0,223.0,0.18,street,0.7
87,OCO,Alpine,20.0,8.0,Finished,,20.0,2022,Miami,94.8235,0.34250000000000114,-1.5247255813953435,5412.0,19.0,3.0,223.0,0.18,street,0.7
88,ALB,Williams,18.0,9.0,Finished,2.469999999999999,18.0,2022,Miami,110.465,-0.38700000000000045,3.119599999999992,5412.0,19.0,3.0,223.0,0.18,street,0.7
89,STR,Aston Martin,0.0,10.0,Finished,1.8799999999999955,10.0,2022,Miami,96.621,1.3654999999999973,0.3981935889377798,5412.0,19.0,3.0,223.0,0.18,street,0.7
90,ALO,Alpine,11.0,11.0,Finished,1.36399999999999,11.0,2022,Miami,94.481,-0.34250000000000114,,5412.0,19.0,3.0,223.0,0.18,street,0.7
91,TSU,AlphaTauri,9.0,12.0,Finished,1.1359999999999957,9.0,2022,Miami,103.951,0.38700000000000045,-1.2810181818181763,5412.0,19.0,3.0,223.0,0.18,street,0.7
92,RIC,McLaren,14.0,13.0,Finished,1.5139999999999958,14.0,2022,Miami,96.7415,1.4110000000000014,1.6304776119402846,5412.0,19.0,3.0,223.0,0.18,street,0.7
93,LAT,Williams,19.0,14.0,Finished,2.5289999999999964,19.0,2022,Miami,110.852,0.38700000000000045,6.505699999999996,5412.0,19.0,3.0,223.0,0.18,street,0.7
94,MSC,Haas F1 Team,15.0,15.0,Finished,1.6269999999999953,15.0,2022,Miami,97.711,3.346999999999994,1.6154286922379981,5412.0,19.0,3.0,223.0,0.18,street,0.7
95,MAG,Haas F1 Team,16.0,16.0,Front wing,2.178999999999988,16.0,2022,Miami,94.364,-3.346999999999994,0.3697257142857113,5412.0,19.0,3.0,223.0,0.18,street,0.7
96,VET,Aston Martin,0.0,17.0,Collision,1.4179999999999922,13.0,2022,Miami,95.2555,-1.3654999999999973,0.33262115021999,5412.0,19.0,3.0,223.0,0.18,street,0.7
97,GAS,AlphaTauri,7.0,18.0,Suspension,0.8939999999999912,7.0,2022,Miami,103.564,-0.38700000000000045,2.4804999999999993,5412.0,19.0,3.0,223.0,0.18,street,0.7
98,NOR,McLaren,8.0,19.0,Collision,0.9539999999999935,8.0,2022,Miami,95.3305,-1.4110000000000014,4.768885714285708,5412.0,19.0,3.0,223.0,0.18,street,0.7
99,ZHO,Alfa Romeo,17.0,20.0,Water leak,2.2239999999999895,17.0,2022,Miami,95.7465,,2.144319796987644,5412.0,19.0,3.0,223.0,0.18,street,0.7
100,VER,Red Bull Racing,2.0,1.0,Finished,0.3229999999999933,2.0,2022,Barcelona,86.0205,-0.3689999999999998,0.08217582417582528,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
101,PER,Red Bull Racing,5.0,2.0,Finished,0.6700000000000017,5.0,2022,Barcelona,86.3895,0.3689999999999998,3.7623399999999996,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
102,RUS,Mercedes,4.0,3.0,Finished,0.6430000000000007,4.0,2022,Barcelona,86.692,0.4059999999999917,2.9430333333333323,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
103,SAI,Ferrari,3.0,4.0,Finished,0.4159999999999968,3.0,2022,Barcelona,86.405,-0.4555000000000007,0.4585666666666699,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
104,HAM,Mercedes,6.0,5.0,Finished,0.7620000000000005,6.0,2022,Barcelona,86.286,-0.4059999999999917,2.5479500000000033,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
105,BOT,Alfa Romeo,7.0,6.0,Finished,0.8580000000000041,7.0,2022,Barcelona,81.828,-5.767499999999998,,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
106,OCO,Alpine,12.0,7.0,Finished,1.8880000000000052,12.0,2022,Barcelona,87.241,-0.06650000000000489,1.164318593171536,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
107,NOR,McLaren,11.0,8.0,Finished,1.7210000000000036,11.0,2022,Barcelona,94.298,7.959000000000003,,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
108,ALO,Alpine,20.0,9.0,+1 Lap,2.2930000000000064,17.0,2022,Barcelona,87.3075,0.06650000000000489,1.5067272727272716,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
109,TSU,AlphaTauri,13.0,10.0,+1 Lap,1.8889999999999958,13.0,2022,Barcelona,88.638,2.0290000000000106,2.6059752508361242,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
110,VET,Aston Martin,16.0,11.0,+1 Lap,2.2039999999999935,16.0,2022,Barcelona,87.005,-1.0220000000000056,2.3604795918367354,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
111,RIC,McLaren,9.0,12.0,+1 Lap,1.546999999999997,9.0,2022,Barcelona,86.339,-7.959000000000003,-0.15196153846153543,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
112,GAS,AlphaTauri,14.0,13.0,+1 Lap,2.111000000000004,14.0,2022,Barcelona,86.609,-2.0290000000000106,0.19492727272727245,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
113,MSC,Haas F1 Team,10.0,14.0,+1 Lap,1.617999999999995,10.0,2022,Barcelona,88.1825,0.7630000000000052,1.5971750841750851,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
114,STR,Aston Martin,17.0,15.0,+1 Lap,2.6680000000000064,18.0,2022,Barcelona,88.027,1.0220000000000056,1.724284375000006,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
115,LAT,Williams,19.0,16.0,+2 Laps,3.1650000000000063,20.0,2022,Barcelona,89.1605,0.015000000000000568,4.189563636363634,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
116,MAG,Haas F1 Team,8.0,17.0,+2 Laps,0.9320000000000022,8.0,2022,Barcelona,87.4195,-0.7630000000000052,1.879100000000002,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
117,ALB,Williams,18.0,18.0,+2 Laps,2.894999999999996,19.0,2022,Barcelona,89.1455,-0.015000000000000568,0.3279156164383609,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
118,ZHO,Alfa Romeo,15.0,19.0,Power loss,2.343999999999994,15.0,2022,Barcelona,87.5955,5.767499999999998,2.291539393939396,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
119,LEC,Ferrari,1.0,20.0,Turbo,0.0,1.0,2022,Barcelona,86.8605,0.4555000000000007,0.021418181818182322,4675.0,16.0,2.0,195.0,0.1,permanent,0.35
120,PER,Red Bull Racing,3.0,1.0,Finished,0.2530000000000001,3.0,2022,Monaco,90.226,9.766500000000008,3.0345679159742285,3337.0,19.0,1.0,160.0,0.35,street,0.05
121,SAI,Ferrari,2.0,2.0,Finished,0.22499999999999432,2.0,2022,Monaco,81.049,4.766000000000005,2.5236894409937825,3337.0,19.0,1.0,160.0,0.35,street,0.05
122,VER,Red Bull Racing,4.0,3.0,Finished,0.28999999999999204,4.0,2022,Monaco,80.45949999999999,-9.766500000000008,3.8629204750642545,3337.0,19.0,1.0,160.0,0.35,street,0.05
123,LEC,Ferrari,1.0,4.0,Finished,0.0,1.0,2022,Monaco,76.283,-4.766000000000005,0.5690337209302385,3337.0,19.0,1.0,160.0,0.35,street,0.05
124,RUS,Mercedes,6.0,5.0,Finished,0.73599999999999,6.0,2022,Monaco,77.21350000000001,-8.851499999999987,0.5539199999999991,3337.0,19.0,1.0,160.0,0.35,street,0.05
125,NOR,McLaren,5.0,6.0,Finished,0.472999999999999,5.0,2022,Monaco,78.372,,-0.299449999999997,3337.0,19.0,1.0,160.0,0.35,street,0.05
126,ALO,Alpine,7.0,7.0,Finished,0.8709999999999951,7.0,2022,Monaco,77.743,-2.772500000000008,1.7083620571943872,3337.0,19.0,1.0,160.0,0.35,street,0.05
127,HAM,Mercedes,8.0,8.0,Finished,1.1839999999999975,8.0,2022,Monaco,86.065,8.851499999999987,1.9124912972085353,3337.0,19.0,1.0,160.0,0.35,street,0.05
128,BOT,Alfa Romeo,12.0,9.0,Finished,1.5330000000000013,12.0,2022,Monaco,79.5495,1.5124999999999886,3.4172666666666545,3337.0,19.0,1.0,160.0,0.35,street,0.05
129,VET,Aston Martin,9.0,10.0,Finished,1.3559999999999945,9.0,2022,Monaco,79.04599999999999,0.12199999999998568,-0.31399585652442813,3337.0,19.0,1.0,160.0,0.35,street,0.05
130,GAS,AlphaTauri,17.0,11.0,Finished,2.283999999999992,17.0,2022,Monaco,80.961,-9.628,0.29030989919875644,3337.0,19.0,1.0,160.0,0.35,street,0.05
131,OCO,Alpine,10.0,12.0,Finished,1.6709999999999923,10.0,2022,Monaco,80.5155,2.772500000000008,1.2513856446165805,3337.0,19.0,1.0,160.0,0.35,street,0.05
132,RIC,McLaren,14.0,13.0,Finished,1.5879999999999939,14.0,2022,Monaco,,,,3337.0,19.0,1.0,160.0,0.35,street,0.05
133,STR,Aston Martin,18.0,14.0,Finished,2.3019999999999925,18.0,2022,Monaco,78.924,-0.12199999999998568,-0.09818076923076567,3337.0,19.0,1.0,160.0,0.35,street,0.05
