,Driver,TeamName_x,GridPosition,Finish_Position,Status,Median_lap_time,team_dif,Deg_Rate_Weighted,delta_to_pole,Qual_Position,Year,Location,dnf,fp2_median_pace,fp2_team_dif,fp2_deg_rate
424,RUS,Mercedes,6.0,5.0,Finished,90.512,0.1419999999999959,0.05721281752975747,0.6869999999999976,6.0,2022,Yas Island,False,91.182,-0.23049999999999216,1.5390294117647123
425,NOR,McLaren,7.0,6.0,Finished,91.046,-0.2749999999999915,0.09377818737817348,0.9450000000000074,7.0,2022,Yas Island,False,91.5695,-21.33149999999999,0.4310025974026091
426,OCO,Alpine,8.0,7.0,Finished,91.091,-1.1869999999999976,0.0025943008813297448,1.0060000000000002,8.0,2022,Yas Island,False,91.75,0.22749999999999204,0.895646825396828
427,STR,Aston Martin,14.0,8.0,Finished,91.155,-0.3299999999999983,-0.008573279517532078,1.5349999999999966,14.0,2022,Yas Island,False,92.481,0.06099999999999284,-0.2702130647130608
428,RIC,McLaren,13.0,9.0,Finished,91.321,0.2749999999999915,-0.004861988567101913,1.2210000000000036,10.0,2022,Yas Island,False,112.901,21.33149999999999,
429,VET,Aston Martin,9.0,10.0,Finished,91.485,0.3299999999999983,-0.0014286939942780897,1.1370000000000005,9.0,2022,Yas Island,False,92.42,-0.06099999999999284,-0.29302812499999586
430,TSU,AlphaTauri,11.0,11.0,Finished,91.3995,-0.7164999999999964,0.05272253193960397,1.394999999999996,12.0,2022,Yas Island,False,91.8605,0.3575000000000017,0.730201785714286
431,ZHO,Alfa Romeo,15.0,12.0,+1 Lap,91.69200000000001,-0.8779999999999859,0.027037084573461906,1.5840000000000032,15.0,2022,Yas Island,False,93.066,0.42900000000000205,0.8875523563393157
432,ALB,Williams,19.0,13.0,+1 Lap,91.70400000000001,-0.5239999999999867,0.11315494670091793,2.2040000000000077,19.0,2022,Yas Island,False,92.226,-0.5204999999999984,1.5758123376623432
433,GAS,AlphaTauri,17.0,14.0,+1 Lap,92.116,0.7164999999999964,0.03138906507022632,2.0349999999999966,17.0,2022,Yas Island,False,91.503,-0.3575000000000017,2.0458218487394895
434,BOT,Alfa Romeo,18.0,15.0,+1 Lap,92.57,0.8779999999999859,-0.006867668621702492,2.067999999999998,18.0,2022,Yas Island,False,92.637,-0.42900000000000205,2.9121850000000022
435,MSC,Haas F1 Team,12.0,16.0,+1 Lap,91.9965,-0.6485000000000127,0.10888149726906615,1.4009999999999962,13.0,2022,Yas Island,False,92.868,-0.2435000000000116,0.1276420953723297
436,MAG,Haas F1 Team,16.0,17.0,+1 Lap,92.64500000000001,0.6485000000000127,0.032809063157462,2.010000000000005,16.0,2022,Yas Island,False,93.1115,0.2435000000000116,0.013953123067407449
437,HAM,Mercedes,5.0,18.0,Hydraulics,90.37,-0.1419999999999959,0.004697146156384923,0.6839999999999975,5.0,2022,Yas Island,False,91.4125,0.23049999999999216,3.411842857142855
438,LAT,Williams,20.0,19.0,Collision damage,92.228,0.5239999999999867,0.12315930735930752,2.230000000000004,20.0,2022,Yas Island,False,92.7465,0.5204999999999984,2.1530000000000062
439,ALO,Alpine,10.0,20.0,Water leak,92.27799999999999,1.1869999999999976,-0.1261142857142893,1.2720000000000056,11.0,2022,Yas Island,False,91.52250000000001,-0.22749999999999204,-0.3029709956709946
440,VER,Red Bull Racing,1.0,1.0,Finished,97.571,0.1839999999999975,0.0063894134959201696,0.0,1.0,2023,Sakhir,False,97.179,-0.44899999999999807,0.15148601398601444
441,PER,Red Bull Racing,2.0,2.0,Finished,97.387,-0.1839999999999975,0.023982339562331517,0.13800000000000523,2.0,2023,Sakhir,False,97.628,0.44899999999999807,0.14800659340659386
442,ALO,Aston Martin,5.0,3.0,Finished,97.931,-0.17900000000000205,0.013622538534679826,0.6280000000000001,5.0,2023,Sakhir,False,97.479,-0.953000000000003,3.0951000000000004
443,SAI,Ferrari,4.0,4.0,Finished,98.21,-0.2670000000000101,0.02376728926953896,0.44599999999999795,4.0,2023,Sakhir,False,98.3,0.5545000000000044,1.3486657142857148
