,Unnamed: 0,Driver,TeamName_x,GridPosition,Finish_Position,Status,delta_to_pole,Qual_Position,Year,Location,fp2_median_pace,fp2_team_dif,fp2_deg_rate
129,129,HUL,Haas F1 Team,10.0,11.0,Lapped,1.2340000000000089,10.0,2024,Imola,82.0825,-0.0940000000000083,-0.6336961538461515
130,130,MAG,Haas F1 Team,18.0,12.0,Lapped,2.108000000000004,18.0,2024,Imola,82.1765,0.0940000000000083,1.0038400375939875
131,131,RIC,RB,9.0,13.0,Lapped,0.9280000000000116,9.0,2024,Imola,81.753,-0.403499999999994,0.2638141304347843
132,132,OCO,Alpine,12.0,14.0,Lapped,1.1600000000000108,12.0,2024,Imola,82.432,0.3630000000000137,2.090407428571431
133,133,ZHO,Kick Sauber,17.0,15.0,Lapped,2.088000000000008,17.0,2024,Imola,82.15549999999999,0.0134999999999934,0.6676475000000023
134,134,GAS,Alpine,15.0,16.0,Lapped,1.6350000000000051,15.0,2024,Imola,82.06899999999999,-0.3630000000000137,0.8532504535147403
135,135,SAR,Williams,19.0,17.0,Lapped,,20.0,2024,Imola,82.20150000000001,0.1005000000000109,1.4556328671328644
136,136,BOT,Kick Sauber,16.0,18.0,Lapped,1.8800000000000097,16.0,2024,Imola,82.142,-0.0134999999999934,0.2564428571428664
137,137,ALO,Aston Martin,20.0,19.0,Lapped,2.1710000000000065,19.0,2024,Imola,81.552,0.0760000000000076,2.6279490683229803
138,138,ALB,Williams,14.0,20.0,Retired,1.4540000000000075,14.0,2024,Imola,82.101,-0.1005000000000109,2.4715074675324673
139,139,LEC,Ferrari,1.0,1.0,Finished,0.0,1.0,2024,Monaco,77.246,-2.564000000000007,1.7201056442806433
140,140,PIA,McLaren,2.0,2.0,Finished,0.1540000000000105,2.0,2024,Monaco,76.045,-0.3969999999999913,0.0822203025477724
141,141,SAI,Ferrari,3.0,3.0,Finished,0.2480000000000046,3.0,2024,Monaco,79.81,2.564000000000007,2.674353780284044
142,142,NOR,McLaren,4.0,4.0,Finished,0.2720000000000055,4.0,2024,Monaco,76.442,0.3969999999999913,1.8394077403207856
143,143,RUS,Mercedes,5.0,5.0,Finished,0.2730000000000103,5.0,2024,Monaco,81.293,3.207000000000008,0.3726060150375946
144,144,VER,Red Bull Racing,6.0,6.0,Finished,0.296999999999997,6.0,2024,Monaco,76.2125,0.0425000000000039,2.3333970588235258
145,145,HAM,Mercedes,7.0,7.0,Finished,0.3509999999999991,7.0,2024,Monaco,78.086,-3.207000000000008,0.3486272068511257
146,146,TSU,RB,8.0,8.0,Lapped,0.5880000000000081,8.0,2024,Monaco,76.602,-0.8499999999999943,1.5421248298455184
147,147,ALB,Williams,9.0,9.0,Lapped,0.6779999999999973,9.0,2024,Monaco,76.5675,0.1769999999999925,1.6255027208380592
148,148,GAS,Alpine,10.0,10.0,Lapped,1.041000000000011,10.0,2024,Monaco,79.01150000000001,3.2165000000000106,1.946031709457974
149,149,ALO,Aston Martin,14.0,11.0,Lapped,1.7490000000000094,14.0,2024,Monaco,77.198,-16.560000000000002,2.3406050505050495
150,150,RIC,RB,12.0,12.0,Lapped,1.2120000000000033,12.0,2024,Monaco,77.452,0.8499999999999943,1.4213280804315271
151,151,BOT,Kick Sauber,17.0,13.0,Lapped,2.2420000000000044,17.0,2024,Monaco,76.9925,0.0425000000000039,3.42740852743271
152,152,STR,Aston Martin,13.0,14.0,Lapped,1.2930000000000064,13.0,2024,Monaco,93.758,16.560000000000002,1.29644646593815
153,153,SAR,Williams,15.0,15.0,Lapped,1.75,15.0,2024,Monaco,76.3905,-0.1769999999999925,-0.054299699699699
154,154,ZHO,Kick Sauber,18.0,16.0,Lapped,2.7580000000000098,18.0,2024,Monaco,76.95,-0.0425000000000039,2.4667924812030173
155,155,OCO,Alpine,11.0,17.0,Retired,1.0150000000000006,11.0,2024,Monaco,75.795,-3.2165000000000106,1.2180105345176864
156,156,PER,Red Bull Racing,16.0,18.0,Retired,1.7900000000000065,16.0,2024,Monaco,76.17,-0.0425000000000039,1.2520385487528385
157,157,HUL,Haas F1 Team,19.0,19.0,Retired,1.1700000000000017,14.0,2024,Monaco,76.973,0.730000000000004,-0.1760458524203718
158,158,MAG,Haas F1 Team,20.0,20.0,Retired,1.4549999999999983,15.0,2024,Monaco,76.243,-0.730000000000004,2.0617606516290756
159,159,VER,Red Bull Racing,2.0,1.0,Finished,0.0,2.0,2024,Montréal,79.311,-8.315999999999988,
160,160,NOR,McLaren,3.0,2.0,Finished,0.0210000000000007,3.0,2024,Montréal,89.7295,3.326999999999998,3.2068677536231895
161,161,RUS,Mercedes,1.0,3.0,Finished,0.0,1.0,2024,Montréal,85.6055,0.3415000000000106,2.12585714285715
162,162,HAM,Mercedes,7.0,4.0,Finished,0.2800000000000011,7.0,2024,Montréal,85.264,-0.3415000000000106,0.780266666666667
163,163,PIA,McLaren,4.0,5.0,Finished,0.1029999999999944,4.0,2024,Montréal,86.4025,-3.326999999999998,3.879132832080205
164,164,ALO,Aston Martin,6.0,6.0,Finished,0.2279999999999944,6.0,2024,Montréal,86.716,0.1259999999999905,0.8566428571428574
165,165,STR,Aston Martin,9.0,7.0,Finished,0.7009999999999934,9.0,2024,Montréal,86.59,-0.1259999999999905,3.410616161616161
166,166,RIC,RB,5.0,8.0,Finished,0.1779999999999972,5.0,2024,Montréal,85.699,-1.245500000000007,0.1980879120879132
167,167,GAS,Alpine,15.0,9.0,Finished,0.9399999999999976,15.0,2024,Montréal,88.095,0.6340000000000003,-1.682064232008592
168,168,OCO,Alpine,18.0,10.0,Finished,1.4350000000000025,18.0,2024,Montréal,87.461,-0.6340000000000003,1.007381719523125
169,169,HUL,Haas F1 Team,17.0,11.0,Finished,1.9779999999999944,19.0,2024,Montréal,89.4555,6.05449999999999,3.7625625
170,170,MAG,Haas F1 Team,14.0,12.0,Finished,0.9159999999999968,14.0,2024,Montréal,83.40100000000001,-6.05449999999999,-0.4870833333333328
171,171,BOT,Kick Sauber,19.0,13.0,Finished,1.3659999999999997,17.0,2024,Montréal,87.798,-1.698999999999998,2.856108986752595
172,172,TSU,RB,8.0,14.0,Finished,0.4140000000000015,8.0,2024,Montréal,86.9445,1.245500000000007,3.199228744939272
173,173,ZHO,Kick Sauber,20.0,15.0,Lapped,2.2920000000000016,20.0,2024,Montréal,89.497,1.698999999999998,5.565915275707895
174,174,SAI,Ferrari,12.0,16.0,Retired,0.7279999999999944,12.0,2024,Montréal,88.167,1.4450000000000074,2.7163720881150253
175,175,ALB,Williams,10.0,17.0,Retired,0.7960000000000065,10.0,2024,Montréal,87.317,2.3419999999999987,-0.3215499999999987
176,176,PER,Red Bull Racing,16.0,18.0,Retired,1.3259999999999934,16.0,2024,Montréal,87.627,8.315999999999988,5.296900968703431
177,177,LEC,Ferrari,11.0,19.0,Retired,0.6910000000000025,11.0,2024,Montréal,86.722,-1.4450000000000074,-0.4897340754483585
178,178,SAR,Williams,13.0,20.0,Retired,0.7360000000000042,13.0,2024,Montréal,84.975,-2.3419999999999987,0.2511012987012981
179,179,VER,Red Bull Racing,2.0,1.0,Finished,0.0200000000000102,2.0,2024,Barcelona,79.614,-1.316999999999993,2.885019264069264
180,180,NOR,McLaren,1.0,2.0,Finished,0.0,1.0,2024,Barcelona,80.16,0.3139999999999929,0.904521428571429
