,Driver,TeamName_x,GridPosition,Finish_Position,Status,Median_lap_time,team_dif,Deg_Rate_Weighted,delta_to_pole,Qual_Position,Year,Location,dnf
114,STR,Aston Martin,17.0,15.0,+1 Lap,89.034,-0.14399999999999125,0.09651766781083015,2.6680000000000064,18.0,2022,Barcelona,False
115,LAT,Williams,19.0,16.0,+2 Laps,89.96950000000001,-0.33099999999998886,0.12236599940300168,3.1650000000000063,20.0,2022,Barcelona,False
116,MAG,Haas F1 Team,8.0,17.0,+2 Laps,89.8135,0.10599999999999454,0.12291610347109985,0.9320000000000022,8.0,2022,Barcelona,False
117,ALB,Williams,18.0,18.0,+2 Laps,90.3005,0.33099999999998886,0.16544346985965855,2.894999999999996,19.0,2022,Barcelona,False
118,ZHO,Alfa Romeo,15.0,19.0,Power loss,90.005,1.4549999999999983,0.06847647058823837,2.343999999999994,15.0,2022,Barcelona,False
119,LEC,Ferrari,1.0,20.0,Turbo,88.099,0.132000000000005,0.004099999999995409,0.0,1.0,2022,Barcelona,False
120,PER,Red Bull Racing,3.0,1.0,Finished,78.7025,-0.2014999999999958,-0.2717765772944605,0.2530000000000001,3.0,2022,Monaco,False
121,SAI,Ferrari,2.0,2.0,Finished,78.912,0.020000000000010232,-0.27280502953032576,0.22499999999999432,2.0,2022,Monaco,False
122,VER,Red Bull Racing,4.0,3.0,Finished,78.904,0.2014999999999958,-0.2844811274906862,0.28999999999999204,4.0,2022,Monaco,False
123,LEC,Ferrari,1.0,4.0,Finished,78.892,-0.020000000000010232,-0.27683436553726465,0.0,1.0,2022,Monaco,False
124,RUS,Mercedes,6.0,5.0,Finished,78.921,-1.2319999999999993,-0.2593876536599025,0.73599999999999,6.0,2022,Monaco,False
125,NOR,McLaren,5.0,6.0,Finished,78.45949999999999,-1.950000000000017,-0.5811908045976988,0.472999999999999,5.0,2022,Monaco,False
126,ALO,Alpine,7.0,7.0,Finished,80.332,-0.0040000000000048885,-0.3440842180576071,0.8709999999999951,7.0,2022,Monaco,False
127,HAM,Mercedes,8.0,8.0,Finished,80.153,1.2319999999999993,-0.33417943362260016,1.1839999999999975,8.0,2022,Monaco,False
128,BOT,Alfa Romeo,12.0,9.0,Finished,80.95500000000001,-0.9139999999999873,-0.34064517171344216,1.5330000000000013,12.0,2022,Monaco,False
129,VET,Aston Martin,9.0,10.0,Finished,80.482,-0.6290000000000049,-0.46380465122703507,1.3559999999999945,9.0,2022,Monaco,False
